Network.Name,MainFundingAgency,Disturbances,Management.Structure,Geographic,CDEON Coordinated Distributed Experiments and Observations,EON Ecological Observatory Networks,LTMP Long-Term Monitoring Programs ,LTRN Long-Term Research Networks ,ORC Observational Research Consortia ,Terrestrial.Ecosystem,Freshwater.Ecosystem,Marine.Ecosystem,Atmospheric.Ecosystem,Coastal.Ecosystem
Earth resources observation and science center (EROS),USGS,0,Directed,Not Assessed,0,0,1,0,0,1,1,0,0,1
National Wetland Condition Assessment (NWCA),EPA,0,Directed,Not Assessed,0,0,1,0,0,0,0,0,0,1
National Centers for Coastal Ocean Science Divison,NOAA Coastal Ecosystem Science,1,Hybrid,Coastal laboratories near reserves ,0,0,1,0,0,0,0,1,0,1
Atmospheric Radiation Measurement (ARM) Research Facility ,DOE,0,Hybrid,Not Assessed,0,0,0,1,0,0,0,0,1,0
Experimental Forest Research (EFRs),USFS; USDA,1,Hybrid,Not Assessed,0,0,0,1,0,1,1,0,0,0
Critical Zone (CZO ending FY 19 and CZN starting FY 20); associated with CZEN,NSF,1,Bottom-Up,Not Assessed,0,0,0,1,0,1,1,0,0,0
Ocean Observatories Initiative (OOI),NSF,0,Directed,Oceanic Array Stations around North American waters,0,0,0,1,0,0,0,1,1,0
FLUXNET- AmeriFlux,DOE,1,Hybrid,Not Assessed,0,0,0,1,0,1,0,0,1,1
Long-Term Ecological Research (LTER),NSF,1,Bottom-Up,"North America, covering 23 ecosystems (eg. deciduous forest, estuaries, etc)",0,0,0,1,0,1,1,1,0,1
Agricultural Research Service’s Long Term Agroecosystem Research (LTAR),USDA,1,Directed,Not Assessed,0,0,0,1,0,1,1,1,0,1
Conservation Effects Assessment Project,USDA,1,Hybrid,USA,0,0,0,1,0,1,1,0,0,1
Arctic Observing Network (AON),NSF (NOAA??),1,Bottom-Up,Arctic ,0,0,0,1,0,1,1,1,1,1
Long-term research in environmental biology (LTREB),NSF,1,Bottom-Up,North America,0,0,0,1,0,1,1,0,0,1
"Consortium of Universities for the Advancement of Hydrological Science, Inc. Universities Allied for Water Research (CUASHI)",NSF; NASA,0,Hybrid,International; infastructure support for US,0,0,0,0,1,1,1,0,0,0
Large Lakes Observatory; Global Lakes Observation Network,NSF,0,Hybrid,Not Assessed,0,0,0,0,1,0,1,0,0,0
International soil carbon network (ICN) and long-term soil experiments,LBNL; EPA,0,Bottom-Up,Not Assessed,0,0,0,0,1,1,0,0,0,0
Forest Global Earth Observatory Network (ForestGEO),Smithsonian; strategic partnerships,1,Bottom-Up,Not Assessed,0,0,0,0,1,1,0,0,0,0
Earth System Research Laboratory (ESRL),NOAA,0,Hybrid,Not Assessed,0,0,0,0,1,0,0,0,1,0
Organization of Biological Field Stations (OBFS),NSF,0,Bottom-Up,Not Assessed,0,0,0,0,1,1,0,0,0,1
National Association of Marine Laboratories (NAML),NSF,0,Bottom-Up,Not Assessed,0,0,0,0,1,0,0,1,0,1
Coastal Zone Management (CZM),NOAA,0,Hybrid,68% of US States,0,0,0,0,1,0,0,1,0,1
NOAA regional collaboration teams,NOAA,0,Directed,8 Regions in USA,0,0,0,0,1,0,0,1,0,1
Study of environmental arctic change (SEARCH),"NSF, IARC, ARCUS",0,Bottom-Up,Arctic ,0,0,0,0,1,1,1,1,0,1
Ocean Carbon and Biogeochemistry (OCB),"NSF, NOAA",1,Hybrid,Not Assessed,0,0,0,0,1,0,0,1,1,1
Coastal Rainforest Margins Research Network,NSF RCN,0,Bottom-Up,Not Assessed,0,0,0,0,1,1,1,1,0,1
Coastal Carbon Research Coordination Network,NSF RCN,0,Bottom-Up,CONUS,0,0,0,0,1,0,0,0,0,1
Louisiana Coastwide Reference Monitoring System (CRMS),"DOI USGS; Coastal Wetlands Planning, Protection, and Restoration Act",0,Directed,Louisiana,0,0,1,0,0,1,1,1,0,1
